id	Au	Sb	As	Lat	Long
1	68	23	5	-36.694594	144.160241
2	7	22	6	-36.692602	144.163372
3	78	43	7	-36.69061	144.166502
4	78	43	5	-36.688902	144.169632
5	66	456	4	-36.687194	144.172763
6	7	45	4	-36.685487	144.176178
7	768	5	0	-36.68321	144.179308
8	67	54	6	-36.681503	144.182723
9	678	35	7	-36.679511	144.185285
10	86	45	7	-36.678088	144.188984
11	650	56	43	-36.67638	144.19183
12	6	56	0	-36.674388	144.194392
13	6	7	4	-36.672965	144.196953
14	787	32	324	-36.671542	144.199514
15	3432	54	5	-36.669266	144.202645
16	34	657	45	-36.667558	144.20549
17	324	4563	4	-36.66585	144.207767
18	2342	345	6	-36.664428	144.210328
19	24	64	5	-36.697155	144.161664
20	34	546	675	-36.695163	144.164225
21	4	456	76	-36.693455	144.16821
22	22	345	867	-36.691463	144.17134
23	432	12	876	-36.689756	144.17447
24	34	35	8	-36.688333	144.17817
25	34	786	98	-36.686625	144.180731
26	34	768	7	-36.685487	144.184431
27	243	9	0	-36.682926	144.187561
28	3	90	78	-36.680934	144.191261
29	5645	879	87	-36.679511	144.193822
30	45	75	0	-36.676949	144.196384
31	454	564	67	-36.675811	144.199229
32	34323	534	5767	-36.674388	144.201506
33	343	432	5	-36.672681	144.204067
34	3432	64	545	-36.670973	144.206913
35	32432	34	6	-36.668981	144.210044
36	343	73	45	-36.667843	144.21289
37	546	74	4	-36.700285	144.162518
38	45	25	345	-36.698578	144.166217
39	6	63	34	-36.696301	144.169348
40	456	57	0	-36.694025	144.173332
41	456	86	234	-36.692886	144.176178
42	5	36	0	-36.690894	144.180731
43	5	52	54	-36.689187	144.183293
44	4	426	54	-36.687479	144.186708
45	4	75	6	-36.686056	144.189269
46	44	68	6	-36.684349	144.193253
47	454	53	7	-36.682357	144.196099
48	4453	4226	8	-36.68008	144.199229
49	34455	757	8	-36.678657	144.201791
50	4345	65	7	-36.677519	144.203498
51	4544	0	868	-36.67638	144.206344
52	454	645	656	-36.674673	144.208905
53	345	53	56	-36.672965	144.212036
54	44	35	45	-36.671258	144.214313
55	443	57	64	-36.703701	144.163941
56	3453	67	6345	-36.701424	144.167071
57	4535	22	34	-36.699147	144.17134
58	676	35	45	-36.696586	144.175324
59	66	766	654	-36.695163	144.177885
60	7	78	567	-36.694309	144.181301
61	4	35	567	-36.692317	144.184431
62	44	0	6578	-36.690325	144.188131
63	323	3434	57	-36.688902	144.191261
64	2223	0	877	-36.687479	144.194961
65	2232	53	78	-36.685772	144.197807
66	23412	0	98	-36.683779	144.201222
67	32432	3	899	-36.681787	144.203214
68	4344	43	8	-36.68008	144.206629
69	4545	45	7	-36.678657	144.20919
70	544	76	6	-36.67638	144.212605
71	45	67	5	-36.674103	144.21602
72	4543	87	5	-36.707685	144.165648
73	45	0	4	-36.705408	144.16821
74	45	98	44	-36.702847	144.172763
75	33	97	3	-36.701139	144.175324
76	30	45	3	-36.699716	144.179024
77	4	34	3	-36.697724	144.182723
78	66	76	4	-36.696586	144.185854
79	43	87	4	-36.694594	144.189838
80	432	435	5	-36.692886	144.194107
81	7654	3242	6	-36.690894	144.197237
82	12321	0	6	-36.688617	144.200652
83	56745	654	6	-36.686056	144.203783
84	7897	75	7	-36.683495	144.208336
85	987	543	7	-36.680934	144.21232
86	999	765	7	-36.679226	144.215451
87	76	8	78	-36.677519	144.217728
88	0	3452	8	-36.712523	144.165933
89	0	324	8	-36.709677	144.169348
90	0	654	8	-36.707116	144.172478
91	0	76	99	-36.704554	144.177316
92	0	45	8	-36.702562	144.181016
93	0	34	8	-36.700855	144.186423
94	1222	7	7	-36.698293	144.191261
95	10000	78765	7	-36.696017	144.19553
